Site ID,Gunshots,X,Y,Number_of_files,Gunshots_per_day,DeployDate (MM/DD/YY),Season,Site Zone,Land Use Zone,L,Unit within Land Use Zone,Concession,CuttingBlock,GPS_zone,GPS_UTM1,GPS_UTM2,GPS placemark,Altitude,Slope,CanopyCover(%),LandCoverType,Schedule,ScheduleWhen,Other
IPA1ST,2,12.79834041,0.502480519,429,0.223776224,2/18/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,254942,55576,IPA1ST,502,1,67,"Located at a previous research site, many large trees","24h, every 30 minutes",every day,"To get to the site we walked on the trail used by a previous research team. After 500m, we set the recorder at 100m from the main trail."
IPA2LT,5,12.79007976,0.498581239,807,0.237918216,2/18/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,254022,55145,IPA2LT,511,0,42,Mature forest; open forest,"24h, once a week","every wednesday, start Feb. 24 2021",Many large trees
IPA3ST,12,12.78162125,0.495703501,429,0.783216783,2/18/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,253080,54827,IPA3ST,485,10,66,"Mature forest,  many large trees, open forest","24h, every 30 minutes",every day,At 200m from a small swamp
IPA4ST,15,12.77309991,0.492861925,428,1.009345794,2/18/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,252131,54513,IPA4ST,516,0,47,"Mature forest,  many large trees","24h, every 30 minutes",every day,Many large trees and mature forest
IPA5LT,12,12.7655759,0.488574245,807,0.356877323,2/18/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,251293,54039,IPA5LT,516,30,59,Mature forest with larges trees,"24h, once a week","every wednesday, start Feb. 24 2021",Many large trees
IPA6ST,11,12.79228533,0.509267913,427,0.899297424,2/19/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,254268,56327,IPA6ST,498,2,55.51,"Mature forest, naer to a ecoguarde patro trail","24h, every 30 minutes",every day,
IPA7ST,8,12.78391627,0.507393638,428,0.560747664,2/19/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,253336,56120,IPA7ST,475,45,66.49,Mature forest and opened,"24h, every 30 minutes",every day,"Human trail in that forest, that might be a hunter trail"
IPA8ST,12,12.77612285,0.503015367,425,1.129411765,2/19/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,252468,55636,IPA8ST,508,10,74,Mature forest with old trees,"24h, every 30 minutes",every day,Cuts of hunters that shows that there is hunting activities in area
IPA9LT,3,12.76779898,0.500571597,144,0.666666667,2/19/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,251541,55366,IPA9LT,513,5,64,"Mature forest,  many large trees","24h, once a week","every wednesday, start Feb. 24 2021",Many large trees
IPA10ST,13,12.76084102,0.495551811,427,0.899297424,2/19/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,250766,54811,IPA10ST,510,0,47,Mature forest,"24h, every 30 minutes",every day,Flat area with big trees
IPA11ST,6,12.75264137,0.497827171,307,0.625407166,2/22/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,249853,55063,IPA11ST,491,0,56,Mature forest around,"24h, every 30 minutes",every day,Mudy area
IPA13ST,6,12.73422403,0.495542696,432,0.333333333,2/22/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,247802,54811,IPA13ST,522,5,57,Mature forest,"24h, every 30 minutes",every day,Hunting trail around
IPA14ST,7,12.72550515,0.493523737,431,0.11136891,2/22/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,246831,54588,IPA14ST,505,0,14,Mature forest,"24h, every 30 minutes",every day,"Small swamp, hunters' camp at 100m away"
IPA15ST,0,12.71663344,0.492191784,430,0,2/21/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,245843,54441,IPA15ST,542,0,58,Opened forest,"24h, every 30 minutes",every day,Opened forest with many leaves on the ground
IPA16ST,10,12.75765661,0.484883131,368,0.782608696,2/21/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,250411,53631,IPA16ST,486,10,58,Mature forest,"24h, every 30 minutes",every day,
IPA17ST,7,12.74843377,0.485675592,353,0.679886686,2/21/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,249384,53719,IPA17ST,496,40,48,Mature forest with big trees,"24h, every 30 minutes",every day,
IPA18ST,9,12.73996504,0.487290946,500,0.288,2/21/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,248441,53898,IPA18ST,515,5,37,Mature forest,"24h, every 30 minutes",every day,
IPA19ST,3,12.73120131,0.485018896,290,0.165517241,2/21/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,247465,53647,IPA19ST,520,0,54,Mature forest with many large trees,"24h, every 30 minutes",every day,Mature forest with many large tree
IPA20ST,1,12.72258978,0.484292774,430,0,2/21/21,rainy,Ipassa,National park,,Research station,NA,NA,33N,246506,53567,IPA20ST,519,0,40,Mature and many large trees,"24h, every 30 minutes",every day,Trails of hunters in that area
TBNI1ST,3,13.05438489,0.634901917,390,0.246153846,3/5/21,rainy,Bobenda,Non-certified logging concession,,UFA1-UFG2 - AAC 2018,Transport Bois Negoce International (TBNI),AAC 2018,33N,283456,70212,TBNI1ST,524,30,22.3,Close to the layon of trees inventory,"24h, every 30 minutes",every day,The logging finished in that area 6 month ago. The recorder we used in that site was peviously invaded by thermites.
TBNI2LT,18,13.04683214,0.631797638,807,0.356877323,3/5/21,rainy,Bobenda,Non-certified logging concession,,UFA1-UFG2 - AAC 2018,Transport Bois Negoce International (TBNI),AAC 2018,33N,282615,69869,TBNI2LT,511,30,4,,"24h, once a week","every wednesday, start March. 10 2021","Quit opened forest with large trees, close to a swamp, hunting forest"
TBNI3ST,5,13.03864099,0.630600991,379,0.37994723,3/5/21,rainy,Bobenda,Non-certified logging concession,,UFA1-UFG2 - AAC 2018,Transport Bois Negoce International (TBNI),AAC 2018,33N,281703,69737,TBNI3ST,507,20,40,"close to a hunting trail, logging trail nearby","24h, every 30 minutes",every day,Nearby a small stream
TBNI4ST,8,13.02993828,0.628436662,378,0.761904762,3/5/21,rainy,Bobenda,Non-certified logging concession,,UFA1-UFG2 - AAC 2018,Transport Bois Negoce International (TBNI),AAC 2018,33N,280734,69498,TBNI4ST,497,0,54,Flat area with large trees,"24h, every 30 minutes",every day,The area is bit opened
TBNI5LT,0,13.05965136,0.626910708,48,0,3/5/21,rainy,Bobenda,Non-certified logging concession,,UFA1-UFG2 - AAC 2018,Transport Bois Negoce International (TBNI),AAC 2018,33N,284042,69328,TBNI5LT,524,5,4,At about 200m from the skid trail,"24h, once a week","every wednesday, start March. 10 2021","At about 200m from a skid trail, nearby a hunting trail"
TBNI6ST,3,13.05234153,0.622622046,371,0.129380054,3/5/21,rainy,Bobenda,Non-certified logging concession,,UFA1-UFG2 - AAC 2018,Transport Bois Negoce International (TBNI),AAC 2018,33N,283228,68854,TBNI6ST,491,0,62,Closed canopy,"24h, every 30 minutes",every day,Nearby a river
TBNI7LT,1,13.04396119,0.62292635,195,0.246153846,3/5/21,rainy,Bobenda,Non-certified logging concession,,UFA1-UFG2 - AAC 2018,Transport Bois Negoce International (TBNI),AAC 2018,33N,282295,68888,TBNI7LT,500,40,59,"Quite opened forest with small trees, nearby a skid trail","24h, once a week","every wednesday, start March. 10 2021","Big swamp down the hill, opened forest with small trees"
TBNI8ST,1,13.03498853,0.622009752,69,0.695652174,3/5/21,rainy,Bobenda,Non-certified logging concession,,UFA1-UFG2 - AAC 2018,Transport Bois Negoce International (TBNI),AAC 2018,33N,281296,68787,TBNI8ST,528,0,59,Closed forest with many lianas,"24h, every 30 minutes",every day,"Nearby a skid trail, in an old layon, cuts made by hunters"
TBNI9LT,0,13.20014562,0.725663516,238,0,3/7/21,rainy,Massaha,Non-certified logging concession,,UFA1-UFG2 - AAC 2019,Transport Bois Negoce International (TBNI),AAC 2019,33N,299687,80243,TBNI9LT,500,60,60,Nearby a trail of the people of the village Massaha that leads to the big river,"24h, once a week","every wednesday, start March. 10 2021","Nearby a trail of the people of the village of Massaha that lead to the main village, very close to the plantation"
TBNI10ST,19,13.20150531,0.717389884,374,1.540106952,3/7/21,rainy,Massaha,Non-certified logging concession,,UFA1-UFG2 - AAC 2019,Transport Bois Negoce International (TBNI),AAC 2019,33N,299838,79328,TBNI10ST,514,60,45,"Mature forest, logged approximately 30 years ago","24h, every 30 minutes",every day,"Nearby a big swamp, new skid trail"
