"","Site","Gunshots","Number_of_files","Treatment","Gunshot_rate"
"1","CF10LT","2",145,"CF",0.662068965517241
"56","CF11ST","0",378,"CF",0
"2","CF12LT","28",807,"CF",1.66542750929368
"3","CF1ST","2",385,"CF",0.249350649350649
"4","CF2LT","5",376,"CF",0.638297872340426
"5","CF3ST","3",379,"CF",0.379947229551451
"6","CF4LT","19",807,"CF",1.13011152416357
"7","CF5ST","4",383,"CF",0.501305483028721
"8","CF6LT","2",170,"CF",0.564705882352941
"9","CF7ST","4",382,"CF",0.50261780104712
"55","CF8LT","0",164,"CF",0
"10","CF9ST","5",381,"CF",0.62992125984252
"11","IPA10ST","11",427,"NP",1.23653395784543
"12","IPA11ST","7",307,"NP",1.09446254071661
"13","IPA13ST","6",432,"NP",0.666666666666667
"14","IPA14ST","7",431,"NP",0.779582366589327
"53","IPA15ST","0",430,"NP",0
"15","IPA16ST","9",368,"NP",1.17391304347826
"16","IPA17ST","7",353,"NP",0.951841359773371
"17","IPA18ST","9",500,"NP",0.864
"18","IPA19ST","2",290,"NP",0.331034482758621
"19","IPA1ST","2",429,"NP",0.223776223776224
"20","IPA20ST","1",430,"NP",0.111627906976744
"21","IPA2LT","5",807,"NP",0.297397769516729
"22","IPA3ST","11",429,"NP",1.23076923076923
"23","IPA4ST","14",428,"NP",1.57009345794393
"24","IPA5LT","15",807,"NP",0.892193308550186
"25","IPA6ST","11",427,"NP",1.23653395784543
"26","IPA7ST","8",428,"NP",0.897196261682243
"27","IPA8ST","12",425,"NP",1.35529411764706
"28","IPA9LT","3",144,"NP",1
"61","ROG10","0",371,"FSC",0
"62","ROG11","0",432,"FSC",0
"63","ROG12","0",344,"FSC",0
"29","ROG13","1",341,"FSC",0.140762463343108
"30","ROG14","3",343,"FSC",0.419825072886297
"64","ROG15","0",340,"FSC",0
"57","ROG4","0",384,"FSC",0
"58","ROG5","0",380,"FSC",0
"31","ROG6","4",381,"FSC",0.503937007874016
"32","ROG7","2",380,"FSC",0.252631578947368
"59","ROG8","0",376,"FSC",0
"60","ROG9","0",333,"FSC",0
"33","TBNI10ST","16",374,"LOG",2.05347593582888
"34","TBNI12ST","6",372,"LOG",0.774193548387097
"35","TBNI14ST","6",375,"LOG",0.768
"36","TBNI15ST","8",375,"LOG",1.024
"37","TBNI16LT","5",193,"LOG",1.24352331606218
"38","TBNI17ST","10",380,"LOG",1.26315789473684
"39","TBNI18LT","2",193,"LOG",0.497409326424871
"40","TBNI19ST","10",380,"LOG",1.26315789473684
"41","TBNI1ST","3",390,"LOG",0.369230769230769
"42","TBNI20ST","15",382,"LOG",1.8848167539267
"43","TBNI21ST","6",328,"PP",0.878048780487805
"44","TBNI22ST","3",317,"PP",0.454258675078864
"45","TBNI23ST","3",360,"PP",0.4
"46","TBNI24ST","4",376,"PP",0.51063829787234
"47","TBNI25ST","6",375,"PP",0.768
"48","TBNI2LT","18",807,"LOG",1.07063197026022
"49","TBNI3ST","5",379,"LOG",0.633245382585752
"50","TBNI4ST","8",378,"LOG",1.01587301587302
"51","TBNI6ST","3",371,"LOG",0.388140161725067
"52","TBNI7LT","1",195,"LOG",0.246153846153846
"54","TBNI9LT","0",238,"LOG",0
