"","Begin.File","Gunshot","Confidence","Tree.","Site","Date","Hour","FileTime","SecondsIntoFile","TimeofGunshot","Treatment","Weekday"
"1","CF10LT___20210407_185907__1021.7_17-2_0.63_gun1.wav",1,5,NA,"CF10LT",2021-04-07,18,2021-04-07 18:59:07,"1021.7",2021-04-07 19:16:08,"CF","Wednesday"
"2","CF10LT___20210407_185907__1603.26_26-43_0.68_gun1.wav",1,5,NA,"CF10LT",2021-04-07,18,2021-04-07 18:59:07,"1603.2",2021-04-07 19:25:50,"CF","Wednesday"
"3","CF12LT___20210324_220000__1206.53_20-7_0.52_gun1.wav",1,5,NA,"CF12LT",2021-03-24,22,2021-03-24 22:00:00,"1206.5",2021-03-24 22:20:06,"CF","Wednesday"
"4","CF12LT___20210324_230000__1515.46_25-15_0.5_gun1.wav",1,4,1,"CF12LT",2021-03-24,23,2021-03-24 23:00:00,"1515.4",2021-03-24 23:25:15,"CF","Wednesday"
"5","CF12LT___20210407_190000__985.73_16-26_0.61_gun1.wav",1,5,NA,"CF12LT",2021-04-07,19,2021-04-07 19:00:00,"985.73",2021-04-07 19:16:25,"CF","Wednesday"
"6","CF12LT___20210407_190000__1567.36_26-7_0.69_gun1.wav",1,5,NA,"CF12LT",2021-04-07,19,2021-04-07 19:00:00,"1567.3",2021-04-07 19:26:07,"CF","Wednesday"
"7","CF12LT___20210407_230000__540.93_9-1_0.53_gun2.wav",1,4,1,"CF12LT",2021-04-07,23,2021-04-07 23:00:00,"540.93",2021-04-07 23:09:00,"CF","Wednesday"
"8","CF12LT___20210428_233000__1099.2_18-19_0.6_gun1.wav",1,5,NA,"CF12LT",2021-04-28,23,2021-04-28 23:30:00,"1099.2",2021-04-28 23:48:19,"CF","Wednesday"
"9","CF12LT___20210512_013000__1576.96_26-17_0.52_gun1.wav",1,4,NA,"CF12LT",2021-05-12,1,2021-05-12 01:30:00,"1576.9",2021-05-12 01:56:16,"CF","Wednesday"
"10","CF12LT___20210602_223000__277.06_4-37_0.63_gun1.wav",1,5,NA,"CF12LT",2021-06-02,22,2021-06-02 22:30:00,"277.06",2021-06-02 22:34:37,"CF","Wednesday"
